文件夹名(一级菜单),工具箱名称(二级菜单),二级菜单是否默认展开,工具集名称（三级菜单）,三级菜单是否默认展开,工具名称,参数名称,数据类型,参数方向,默认值
通用检查,通用检查,是,对比检查,否,要素矢量和属性对比,输入检查要素类,要素类,输入,%输出数据库%/HYDL
通用检查,通用检查,是,对比检查,否,要素矢量和属性对比,输入对比要素类,要素类,输入,1
通用检查,通用检查,是,对比检查,否,要素矢量和属性对比,输出位置（gdb或mdb）,工作空间,输入,2
通用检查,通用检查,是,对比检查,否,要素矢量和属性对比,不对比的字段,字符串,输入,3
通用检查,通用检查,是,对比检查,否,要素矢量和属性对比,来源无属性时是否对比,字符串,输入,4
通用检查,通用检查,是,对比检查,否,同字段属性对比,输入检查要素类,要素类,输入,5
通用检查,通用检查,是,对比检查,否,同字段属性对比,输出要素类,要素类,输入,6
通用检查,通用检查,是,对比检查,否,同字段属性对比,不对比的字段,字符串,输入,7
通用检查,通用检查,是,对比检查,否,同字段属性对比,来源无属性时是否对比,字符串,输入,8
通用检查,通用检查,是,对比检查,否,矢量变化检查,输入检查要素类,要素类,输入,9
通用检查,通用检查,是,对比检查,否,矢量变化检查,输入对比要素类,要素类,输入,10
通用检查,通用检查,是,对比检查,否,矢量变化检查,输出交集取反（路径名称）,要素类,输入,11
通用检查,通用检查,是,对比检查,否,矢量变化检查,输出矢量检查（路径名称）,要素类,输入,12
通用检查,通用检查,是,对比检查,否,矢量变化检查,对比要素的处理,要素类,输入,13
通用检查,通用检查,是,对比检查,否,矢量变化检查,输入带作业范围的抽样框,要素类,输入,14
